"","X","Lat","Long","loc","unique"
"523",523,42.8035,-106.2245,"Casper , WY",FALSE
"524",524,42.1235,-72.6399,"West Springfield , MA",FALSE
"525",525,34.1352,-118.2416,"Glendale , CA",FALSE
"526",526,42.1847,-71.122,"Canton , MA",FALSE
"527",527,32.7244,-114.5157,"Yuma , AZ",FALSE
"529",529,37.6534,-122.4231,"South San Francisco , CA",FALSE
"531",531,33.7866,-118.2987,"Burbank , CA",FALSE
"532",532,35.233,-97.4122,"Norman , OK",FALSE
"534",534,44.035,-103.3782,"Rapid City , SD",FALSE
"536",536,39.6182,-84.2488,"Miamisburg , OH",FALSE
"537",537,32.6904,-97.1343,"Arlington , TX",FALSE
"539",539,40.4999,-105.2647,"Loveland , CO",FALSE
"540",540,39.8301,-105.0345,"Westminster , CO",FALSE
"541",541,43.1493,-77.5081,"Rochester , NY",FALSE
"542",542,34.2322,-118.3448,"Sun Valley , CA",FALSE
"544",544,41.1034,-104.9059,"Cheyenne , WY",FALSE
"545",545,33.6284,-91.3569,"Mc Gehee , AR",FALSE
"546",546,32.9478,-96.8915,"Carrollton , TX",FALSE
"547",547,42.2211,-71.1985,"Westwood , MA",FALSE
"548",548,28.0407,-81.9043,"Lakeland , FL",FALSE
"549",549,33.9164,-118.4041,"El Segundo , CA",FALSE
"550",550,36.0828,-82.8508,"Greeneville , TN",FALSE
"553",553,38.8758,-94.5259,"Grandview , MO",FALSE
"556",556,38.5516,-92.2745,"Jefferson City , MO",FALSE
"557",557,30.1346,-93.273,"Lake Charles , LA",FALSE
"558",558,32.9001,-94.6753,"Lone Star , TX",FALSE
"559",559,38.5421,-89.8448,"Scott Air Force Base , IL",FALSE
"560",560,38.7328,-90.1072,"Granite City , IL",FALSE
"563",563,36.9592,-90.9966,"Van Buren , MO",FALSE
"564",564,31.2379,-99.8895,"Eden , TX",FALSE
"566",566,41.5664,-93.7405,"West Des Moines , IA",FALSE
"567",567,37.802,-99.9982,"Dodge City , KS",FALSE
"569",569,42.7233,-94.1993,"Dakota City , IA",FALSE
"570",570,30.3991,-93.9088,"Buna , TX",FALSE
"572",572,41.5839,-93.6289,"Des Moines , IA",FALSE
"573",573,33.4001,-111.929,"Tempe , AZ",FALSE
"574",574,43.1465,-93.2075,"Mason City , IA",FALSE
"575",575,42.684,-91.9346,"Oelwein , IA",FALSE
"578",578,38.2813,-85.8401,"New Albany , IN",FALSE
"579",579,38.969,-76.8537,"Lanham , MD",FALSE
"581",581,41.1995,-73.7164,"Mount Kisco , NY",FALSE
"582",582,32.6188,-93.8852,"Shreveport , LA",FALSE
"583",583,34.1139,-93.7089,"Murfreesboro , AR",FALSE
"584",584,34.572,-93.412,"Mount Ida , AR",FALSE
"586",586,32.9786,-93.5171,"Springhill , LA",FALSE
"587",587,33.2485,-101.3345,"Post , TX",FALSE
"590",590,46.8159,-100.7061,"Bismarck , ND",FALSE
"591",591,36.7248,-91.8945,"West Plains , MO",FALSE
"593",593,34.7465,-92.2896,"Little Rock , AR",FALSE
"594",594,32.5695,-93.6923,"Bossier City , LA",FALSE
"595",595,34.5825,-92.3837,"Mabelvale , AR",FALSE
"597",597,29.8688,-95.538,"Houston , TX",FALSE
"598",598,30.1406,-94.1571,"Beaumont , TX",FALSE
"599",599,34.274,-92.091,"White Hall , AR",FALSE
"600",600,33.2265,-91.7912,"Hamburg , AR",FALSE
"603",603,35.278,-93.1373,"Russellville , AR",FALSE
"604",604,34.1805,-91.9095,"Pine Bluff , AR",FALSE
"605",605,33.2507,-86.9211,"Helena , AL",FALSE
"607",607,41.7194,-70.4803,"Sandwich , MA",FALSE
"608",608,34.4179,-93.0493,"Hot Springs National Park , AR",FALSE
"609",609,34.8675,-92.4001,"Maumelle , AR",FALSE
"610",610,31.813,-93.4971,"Pleasant Hill , LA",FALSE
"611",611,32.5178,-93.292,"Sibley , LA",FALSE
"612",612,34.7742,-92.1554,"North Little Rock , AR",FALSE
"614",614,33.0306,-96.9926,"Lewisville , TX",FALSE
"619",619,35.6629,-89.1089,"Bells , TN",FALSE
"621",621,34.9592,-90.0286,"Horn Lake , MS",FALSE
"624",624,27.5596,-99.4608,"Laredo , TX",FALSE
"625",625,32.2686,-111.0022,"Tucson , AZ",FALSE
"628",628,39.0278,-94.6558,"Mission , KS",FALSE
"629",629,33.3972,-111.7858,"Mesa , AZ",FALSE
"630",630,36.1041,-90.4662,"Paragould , AR",FALSE
"631",631,45.9489,-116.5209,"Cottonwood , ID",FALSE
"633",633,30.6586,-88.3535,"Mobile , AL",FALSE
